0.989,0.125,0.71,-0.044,-9.8
0.48,-0.113,0.989,0.125,22.8
0.5,-0.066,0.48,-0.113,-9.7
0.328,-0.115,0.5,-0.066,3.3
0.434,-0.055,0.328,-0.115,-1.6
0.159,-0.058,0.434,-0.055,-12.7
0.29,-0.105,0.159,-0.058,17.4
0.153,-0.074,0.29,-0.105,2
0.184,-0.081,0.153,-0.074,-16.6
-0.026,-0.052,0.184,-0.081,3.7
0.094,0.025,-0.026,-0.052,0
0.096,-0.102,0.094,0.025,-1.2
0.089,-0.142,0.096,-0.102,-2.5
-0.077,-0.073,0.089,-0.142,10.7
0.065,-0.064,-0.077,-0.073,-4.5
-0.028,-0.236,0.065,-0.064,35.7
0.244,-0.066,-0.028,-0.236,-2.8
0.068,-0.169,0.244,-0.066,15.1
0.195,-0.082,0.068,-0.169,3.1
0.188,-0.031,0.195,-0.082,7.8
0.218,-0.025,0.188,-0.031,9.3
0.229,-0.029,0.218,-0.025,-0.4
0.167,-0.012,0.229,-0.029,1.2
0.412,0.097,0.167,-0.012,-24.9
0.375,-0.09,0.412,0.097,7.5
0.166,-0.042,0.375,-0.09,-16
-0.044,-0.046,0.166,-0.042,19
0.059,-0.05,-0.044,-0.046,7.4
0.054,0.009,0.059,-0.05,6.2
0.222,-0.002,0.054,0.009,-29.5
-0.083,-0.068,0.222,-0.002,5.5
0.043,-0.032,-0.083,-0.068,-16.9
-0.315,-0.049,0.043,-0.032,-10.4
-0.129,-0.133,-0.315,-0.049,0.4
0.058,-0.088,-0.129,-0.133,-15.4
-0.124,-0.176,0.058,-0.088,-15.2
0.017,-0.009,-0.124,-0.176,-1.2
-0.114,-0.008,0.017,-0.009,16.3
0.062,-0.04,-0.114,-0.008,-38.6
-0.189,-0.05,0.062,-0.04,9.8
-0.162,-0.156,-0.189,-0.05,39.3
0.054,0.043,-0.162,-0.156,4.5
-0.037,0.003,0.054,0.043,23.9
0.315,0.109,-0.037,0.003,-15.4
-0.069,0.169,0.315,0.109,-32.1
-0.108,-0.008,-0.069,0.169,16.2
0.016,0.052,-0.108,-0.008,15.9
0.043,0.091,0.016,0.052,4.8
0.058,-0.004,0.043,0.091,5.6
-0.02,0.094,0.058,-0.004,18.7
0.165,0.259,-0.02,0.094,-2
0.119,-0.014,0.165,0.259,-13.3
0.067,-0.033,0.119,-0.014,-22.6
-0.151,-0.086,0.067,-0.033,-24.4
-0.216,-0.016,-0.151,-0.086,-6.2
-0.305,-0.065,-0.216,-0.016,0.8
-0.213,0.002,-0.305,-0.065,19.7
0.054,0.044,-0.213,0.002,-7.4
-0.075,0.061,0.054,0.044,-20.7
-0.187,0.019,-0.075,0.061,-7.2
-0.52,0.206,-0.187,0.019,-11
-0.033,0.084,-0.52,0.206,1.7
-0.023,0.019,-0.033,0.084,9.9
0.072,0.092,-0.023,0.019,13.6
0.004,0.203,0.072,0.092,-5.4
0.11,0.117,0.004,0.203,7.2
0.069,0.119,0.11,0.117,16.3
-0.005,0.223,0.069,0.119,5.8
0.006,0.449,-0.005,0.223,-4.5
0.092,0.615,0.006,0.449,16.9
0.096,0.026,0.092,0.615,4.9
0.243,0.05,0.096,0.026,-51.9
-0.183,-0.026,0.243,0.05,-22.1
-0.156,-0.283,-0.183,-0.026,5.6
0.039,-0.161,-0.156,-0.283,6
0.056,-0.086,0.039,-0.161,-1.3
0.012,-0.06,0.056,-0.086,-10.7
-0.01,-0.29,0.012,-0.06,-15.6
-0.226,-0.078,-0.01,-0.29,12.4
0.051,-0.014,-0.226,-0.078,-3.1
-0.077,-0.152,0.051,-0.014,5.7
-0.08,-0.035,-0.077,-0.152,8.7
0.069,0,-0.08,-0.035,-16.8
0.012,-0.006,0.069,0,11.8
0.049,0.027,0.012,-0.006,14.3
-0.022,0.011,0.049,0.027,-1.7
0.139,0.037,-0.022,0.011,-22.2
-0.184,0.001,0.139,0.037,-8.7
0.109,0.013,-0.184,0.001,-24.3
-0.297,0.15,0.109,0.013,6.8
-0.153,0.042,-0.297,0.15,20.2
0.184,0.081,-0.153,0.042,-25.5
-0.311,0.058,0.184,0.081,-37.1
-0.434,0.057,-0.311,0.058,8
-0.128,0.037,-0.434,0.057,15.8
0.048,-0.02,-0.128,0.037,14.7
0.184,-0.005,0.048,-0.02,0.5
-0.108,0.014,0.184,-0.005,11.3
-0.042,-0.065,-0.108,0.014,5.4
0.082,-0.008,-0.042,-0.065,-16.9
-0.075,-0.041,0.082,-0.008,23.5
0.091,0.063,-0.075,-0.041,2.6
0.131,0.034,0.091,0.063,0.4
0.023,-0.005,0.131,0.034,-11
-0.112,-0.069,0.023,-0.005,-11.1
-0.204,-0.031,-0.112,-0.069,31.5
0.292,-0.052,-0.204,-0.031,-7
0.062,-0.105,0.292,-0.052,17.1
0.23,0.07,0.062,-0.105,6.5
0.081,0.127,0.23,0.07,3.9
0.142,0.007,0.081,0.127,-0.4
0.279,-0.027,0.142,0.007,-15
-0.092,-0.085,0.279,-0.027,-5.2
-0.034,0.022,-0.092,-0.085,20.5
0.134,0.014,-0.034,0.022,-0.4
0.094,0.012,0.134,0.014,-3
0.052,0.001,0.094,0.012,-25.7
-0.069,-0.149,0.052,0.001,7
0.087,-0.012,-0.069,-0.149,-29.3
-0.189,-0.118,0.087,-0.012,5
-0.339,0.053,-0.189,-0.118,-21.5
